Player: 申真谞, Date: 2019-04-27, Rating: 3765, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2019-04-26, Rating: 3765, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2019-04-22, Rating: 3764, Black and White: 执黑, Result: 负, Opponent: 李东勋
Player: 申真谞, Date: 2019-04-21, Rating: 3764, Black and White: 执白, Result: 负, Opponent: 王泽锦
Player: 申真谞, Date: 2019-04-21, Rating: 3764, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 申真谞, Date: 2019-04-20, Rating: 3764, Black and White: 执黑, Result: 胜, Opponent: 陈梓健
Player: 申真谞, Date: 2019-04-19, Rating: 3764, Black and White: 执白, Result: 胜, Opponent: 六浦雄太
Player: 申真谞, Date: 2019-04-19, Rating: 3764, Black and White: 执黑, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2019-04-17, Rating: 3764, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 申真谞, Date: 2019-04-15, Rating: 3763, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 申真谞, Date: 2019-04-12, Rating: 3763, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 申真谞, Date: 2019-04-08, Rating: 3762, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2019-03-26, Rating: 3759, Black and White: 执白, Result: 胜, Opponent: 白洪淅
Player: 申真谞, Date: 2019-03-19, Rating: 3758, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2019-03-18, Rating: 3758, Black and White: 执白, Result: 胜, Opponent: 张栩
Player: 申真谞, Date: 2019-03-13, Rating: 3757, Black and White: 执黑, Result: 胜, Opponent: 朴河旼
Player: 申真谞, Date: 2019-03-12, Rating: 3757, Black and White: 执黑, Result: 胜, Opponent: 俞炳龙
Player: 申真谞, Date: 2019-03-11, Rating: 3757, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2019-02-25, Rating: 3754, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 申真谞, Date: 2019-02-15, Rating: 3752, Black and White: 执黑, Result: 胜, Opponent: 金成宰
Player: 申真谞, Date: 2019-02-02, Rating: 3749, Black and White: 执白, Result: 负, Opponent: 罗玄
Player: 申真谞, Date: 2019-01-20, Rating: 3747, Black and White: 执黑, Result: 胜, Opponent: 朴键昊
Player: 申真谞, Date: 2019-01-17, Rating: 3747, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2019-01-15, Rating: 3746, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2019-01-13, Rating: 3746, Black and White: 执黑, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2019-01-07, Rating: 3745, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2019-01-05, Rating: 3745, Black and White: 执白, Result: 胜, Opponent: 朴常镇
Player: 朴廷桓, Date: 2019-12-20, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2019-12-18, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 康又赫
Player: 朴廷桓, Date: 2019-12-16, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 赵完珪
Player: 朴廷桓, Date: 2019-12-15, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 朴廷桓, Date: 2019-12-12, Rating: 3709, Black and White: 执白, Result: 负, Opponent: 范蕴若
Player: 朴廷桓, Date: 2019-12-11, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 李维清
Player: 朴廷桓, Date: 2019-12-09, Rating: 3709, Black and White: 执白, Result: 负, Opponent: 李维清
Player: 朴廷桓, Date: 2019-12-06, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 朴廷桓, Date: 2019-11-29, Rating: 3710, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2019-11-23, Rating: 3710, Black and White: 执黑, Result: 胜, Opponent: 韩升周
Player: 朴廷桓, Date: 2019-11-17, Rating: 3710, Black and White: 执黑, Result: 负, Opponent: 卞相壹
Player: 朴廷桓, Date: 2019-11-13, Rating: 3710, Black and White: 执黑, Result: 胜, Opponent: 赖均辅
Player: 朴廷桓, Date: 2019-11-13, Rating: 3710, Black and White: 执白, Result: 胜, Opponent: 徐靖恩
Player: 朴廷桓, Date: 2019-11-12, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 陈祈睿
Player: 朴廷桓, Date: 2019-11-12, Rating: 3711, Black and White: 执白, Result: 胜, Opponent: 林立祥
Player: 朴廷桓, Date: 2019-11-11, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 林君谚
Player: 朴廷桓, Date: 2019-11-11, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 许皓鋐
Player: 朴廷桓, Date: 2019-11-07, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 金起用
Player: 朴廷桓, Date: 2019-11-02, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2019-10-30, Rating: 3711, Black and White: 执黑, Result: 胜, Opponent: 陶欣然
Player: 朴廷桓, Date: 2019-10-28, Rating: 3711, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 朴廷桓, Date: 2019-10-21, Rating: 3711, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2019-10-19, Rating: 3711, Black and White: 执白, Result: 胜, Opponent: 姜升旼
Player: 朴廷桓, Date: 2019-10-13, Rating: 3711, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2019-10-11, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 李翔宇
Player: 朴廷桓, Date: 2019-10-10, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 李钦诚
Player: 朴廷桓, Date: 2019-10-07, Rating: 3712, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2019-10-05, Rating: 3712, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2019-10-03, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 朴廷桓, Date: 2019-10-02, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2019-09-28, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 安正己
Player: 朴廷桓, Date: 2019-09-25, Rating: 3712, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2019-09-01, Rating: 3712, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 朴廷桓, Date: 2019-08-31, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2019-08-30, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 党毅飞
Player: 朴廷桓, Date: 2019-08-26, Rating: 3712, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 朴廷桓, Date: 2019-08-24, Rating: 3712, Black and White: 执白, Result: 负, Opponent: 连笑
Player: 朴廷桓, Date: 2019-08-15, Rating: 3712, Black and White: 执黑, Result: 负, Opponent: 柁嘉熹
Player: 朴廷桓, Date: 2019-08-14, Rating: 3712, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2019-08-12, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 戎毅
Player: 朴廷桓, Date: 2019-08-10, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2019-08-07, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2019-08-06, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2019-08-03, Rating: 3713, Black and White: 执白, Result: 负, Opponent: 山下敬吾
Player: 朴廷桓, Date: 2019-07-29, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 孟泰龄
Player: 朴廷桓, Date: 2019-07-26, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 朴廷桓, Date: 2019-07-25, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 朴承华
Player: 朴廷桓, Date: 2019-07-24, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 朴键昊
Player: 朴廷桓, Date: 2019-07-22, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 范胤
Player: 朴廷桓, Date: 2019-07-20, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 张紫良
Player: 朴廷桓, Date: 2019-07-18, Rating: 3713, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2019-07-15, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 金镇薰
Player: 朴廷桓, Date: 2019-07-13, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 朴钟勋
Player: 朴廷桓, Date: 2019-07-09, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 朴廷桓, Date: 2019-07-07, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2019-06-27, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2019-06-25, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 朴永训
